"","dog_name","year","month","day","weight_in_lbs"
"1","raisin","2018","08","12",19.75
"2","simone","2018","08","12",10.875
"3","gagne","2018","08","12",10.625
"4","raisin","2018","08","19",20.1875
"5","simone","2018","08","19",11.125
"6","gagne","2018","08","19",10.75
"7","raisin","2018","08","22",20.25
"8","simone","2018","08","22",11.25
"9","gagne","2018","08","22",10.8125
"10","raisin","2018","08","24",19.8125
"11","simone","2018","08","24",11.25
"12","gagne","2018","08","24",11.0625
"13","raisin","2018","08","27",19.375
"14","simone","2018","08","27",10.5
"15","gagne","2018","08","27",10.375
"16","raisin","2018","08","28",NA
"17","simone","2018","08","28",NA
"18","gagne","2018","08","28",NA
"19","raisin","2018","08","29",19.375
"20","simone","2018","08","29",11
"21","gagne","2018","08","29",11.0625
"22","raisin","2018","08","30",NA
"23","simone","2018","08","30",NA
"24","gagne","2018","08","30",NA
"25","raisin","2018","08","31",19.5625
"26","simone","2018","08","31",11
"27","gagne","2018","08","31",10.75
"28","raisin","2018","09","01",NA
"29","simone","2018","09","01",NA
"30","gagne","2018","09","01",NA
"31","raisin","2018","09","02",19.625
"32","simone","2018","09","02",10.8125
"33","gagne","2018","09","02",10.625
"34","raisin","2018","09","03",19.5
"35","simone","2018","09","03",10.9375
"36","gagne","2018","09","03",10.8125
"37","raisin","2018","09","04",19.5625
"38","simone","2018","09","04",11
"39","gagne","2018","09","04",10.9375
"40","raisin","2018","09","05",19.5
"41","simone","2018","09","05",11.125
"42","gagne","2018","09","05",11
"43","raisin","2018","09","06",19.4375
"44","simone","2018","09","06",11
"45","gagne","2018","09","06",10.6875
"46","raisin","2018","09","07",19.375
"47","simone","2018","09","07",11.0625
"48","gagne","2018","09","07",11.125
"49","raisin","2018","09","08",19.4375
"50","simone","2018","09","08",11.25
"51","gagne","2018","09","08",10.9375
"52","raisin","2018","09","09",19.5
"53","simone","2018","09","09",11.125
"54","gagne","2018","09","09",10.8125
"55","raisin","2018","09","10",19.4375
"56","simone","2018","09","10",11.125
"57","gagne","2018","09","10",10.8125
"58","raisin","2018","09","11",19.5
"59","simone","2018","09","11",10.9375
"60","gagne","2018","09","11",11
"61","raisin","2018","09","12",19.5
"62","simone","2018","09","12",11.0625
"63","gagne","2018","09","12",11
"64","raisin","2018","09","13",19.4375
"65","simone","2018","09","13",11.1875
"66","gagne","2018","09","13",11
"67","raisin","2018","09","14",19.625
"68","simone","2018","09","14",11.0625
"69","gagne","2018","09","14",11.0625
"70","raisin","2018","09","15",19.5
"71","simone","2018","09","15",NA
"72","gagne","2018","09","15",NA
"73","raisin","2018","09","16",19.5625
"74","simone","2018","09","16",11
"75","gagne","2018","09","16",11.0625
"76","raisin","2018","10","01",19
"77","simone","2018","10","01",10.25
"78","gagne","2018","10","01",10.25
"79","raisin","2018","10","02",19.375
"80","simone","2018","10","02",11
"81","gagne","2018","10","02",10.75
"82","raisin","2018","10","03",19
"83","simone","2018","10","03",10.625
"84","gagne","2018","10","03",10.1875
"85","raisin","2018","10","04",18.9375
"86","simone","2018","10","04",10.5625
"87","gagne","2018","10","04",10.25
"88","raisin","2018","10","09",19.625
"89","simone","2018","10","09",10.625
"90","gagne","2018","10","09",10.6875
"91","raisin","2018","10","10",19.125
"92","simone","2018","10","10",10.6875
"93","gagne","2018","10","10",10.6875
"94","raisin","2018","10","11",19.125
"95","simone","2018","10","11",10.6875
"96","gagne","2018","10","11",10.5625
"97","raisin","2018","10","12",19.0625
"98","simone","2018","10","12",10.625
"99","gagne","2018","10","12",10.6875
"100","raisin","2018","10","13",19.3125
"101","simone","2018","10","13",10.5625
"102","gagne","2018","10","13",10.6875
"103","raisin","2018","10","14",19.0625
"104","simone","2018","10","14",10.5625
"105","gagne","2018","10","14",10.6875
"106","raisin","2018","10","15",19.25
"107","simone","2018","10","15",NA
"108","gagne","2018","10","15",NA
"109","raisin","2018","10","16",18.8125
"110","simone","2018","10","16",10.6875
"111","gagne","2018","10","16",10.6875
"112","raisin","2018","10","17",18.9375
"113","simone","2018","10","17",10.8125
"114","gagne","2018","10","17",10.8125
"115","raisin","2018","10","18",18.875
"116","simone","2018","10","18",10.75
"117","gagne","2018","10","18",10.8125
"118","raisin","2018","10","22",NA
"119","simone","2018","10","22",10.25
"120","gagne","2018","10","22",10.3125
"121","raisin","2018","10","23",18.5
"122","simone","2018","10","23",10.5
"123","gagne","2018","10","23",10.5
"124","raisin","2018","10","24",18.4375
"125","simone","2018","10","24",10.75
"126","gagne","2018","10","24",10.5625
"127","raisin","2018","10","25",18.4375
"128","simone","2018","10","25",10.5
"129","gagne","2018","10","25",10.5625
"130","raisin","2018","10","26",18.5
"131","simone","2018","10","26",10.5
"132","gagne","2018","10","26",10.6875
"133","raisin","2018","10","27",18.625
"134","simone","2018","10","27",10.5625
"135","gagne","2018","10","27",10.75
"136","raisin","2018","10","28",18.375
"137","simone","2018","10","28",10.5625
"138","gagne","2018","10","28",10.75
"139","raisin","2018","10","29",18.5625
"140","simone","2018","10","29",10.5
"141","gagne","2018","10","29",10.625
"142","raisin","2018","10","30",18.5
"143","simone","2018","10","30",10.5625
"144","gagne","2018","10","30",10.625
"145","raisin","2018","10","31",18.4375
"146","simone","2018","10","31",10.625
"147","gagne","2018","10","31",10.75
"148","raisin","2018","11","01",18.4375
"149","simone","2018","11","01",10.5
"150","gagne","2018","11","01",10.6875
"151","raisin","2018","11","02",18.375
"152","simone","2018","11","02",10.375
"153","gagne","2018","11","02",10.5625
"154","raisin","2018","11","04",18.6875
"155","simone","2018","11","04",10.6875
"156","gagne","2018","11","04",10.8125
"157","raisin","2018","11","05",18.4375
"158","simone","2018","11","05",10.5
"159","gagne","2018","11","05",10.6875
"160","raisin","2018","11","06",18.4375
"161","simone","2018","11","06",10.5
"162","gagne","2018","11","06",10.75
"163","raisin","2018","11","18",19.4375
"164","simone","2018","11","18",NA
"165","gagne","2018","11","18",NA
"166","raisin","2018","11","19",19
"167","simone","2018","11","19",10.4375
"168","gagne","2018","11","19",10.875
"169","raisin","2018","11","20",18.5625
"170","simone","2018","11","20",10.4375
"171","gagne","2018","11","20",10.5625
"172","raisin","2018","11","21",18.4375
"173","simone","2018","11","21",10.5
"174","gagne","2018","11","21",10.6875
"175","raisin","2018","11","22",18.5
"176","simone","2018","11","22",10.3125
"177","gagne","2018","11","22",10.6875
"178","raisin","2018","11","23",18.4375
"179","simone","2018","11","23",10.25
"180","gagne","2018","11","23",10.5
"181","raisin","2018","11","29",18.3125
"182","simone","2018","11","29",10.5
"183","gagne","2018","11","29",10.625
"184","raisin","2018","12","01",18.25
"185","simone","2018","12","01",10.375
"186","gagne","2018","12","01",10.4375
"187","raisin","2018","12","04",18.4375
"188","simone","2018","12","04",10.375
"189","gagne","2018","12","04",10.625
"190","raisin","2018","12","05",18.25
"191","simone","2018","12","05",10.4375
"192","gagne","2018","12","05",10.75
"193","raisin","2018","12","06",18.1875
"194","simone","2018","12","06",10.5
"195","gagne","2018","12","06",10.6875
"196","raisin","2018","12","08",18.25
"197","simone","2018","12","08",10.6875
"198","gagne","2018","12","08",10.875
"199","raisin","2018","12","09",18.1875
"200","simone","2018","12","09",10.5
"201","gagne","2018","12","09",10.8125
"202","raisin","2018","12","10",18.125
"203","simone","2018","12","10",NA
"204","gagne","2018","12","10",NA
"205","raisin","2018","12","11",18.25
"206","simone","2018","12","11",10.625
"207","gagne","2018","12","11",10.875
"208","raisin","2018","12","17",17.9375
"209","simone","2018","12","17",10.125
"210","gagne","2018","12","17",10.375
"211","raisin","2018","12","18",17.875
"212","simone","2018","12","18",10.125
"213","gagne","2018","12","18",10.6875
"214","raisin","2019","01","08",17.9375
"215","simone","2019","01","08",10
"216","gagne","2019","01","08",10.3125
"217","raisin","2019","01","10",17.8125
"218","simone","2019","01","10",10.125
"219","gagne","2019","01","10",10.375
"220","raisin","2019","01","14",17.875
"221","simone","2019","01","14",9.9375
"222","gagne","2019","01","14",10.3125
"223","raisin","2019","01","17",17.8125
"224","simone","2019","01","17",10.375
"225","gagne","2019","01","17",10.375
"226","raisin","2019","01","19",17.75
"227","simone","2019","01","19",10.125
"228","gagne","2019","01","19",10.375
"229","raisin","2019","01","26",18
